Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty
1, Two Sum,"['Array', 'Hash Table']",54.10%,FALSE,Easy
2, Add Two Numbers,"['Linked List', 'Math', 'Recursion']",44.50%,FALSE,Medium
3, Longest Substring Without Repeating Characters,"['Hash Table', 'String', 'Sliding Window']",35.70%,FALSE,Medium
4, Median of Two Sorted Arrays,"['Array', 'Binary Search', '1+']",41.80%,FALSE,Hard
5, Longest Palindromic Substring,"['Two Pointers', 'String', '1+']",34.70%,FALSE,Medium
6, Zigzag Conversion,['String'],49.70%,FALSE,Medium
7, Reverse Integer,['Math'],29.30%,FALSE,Medium
8, String to Integer (atoi),['String'],18.10%,FALSE,Medium
9, Palindrome Number,['Math'],57.80%,FALSE,Easy
10, Regular Expression Matching,"['String', 'Dynamic Programming', 'Recursion']",28.50%,FALSE,Hard
11, Container With Most Water,"['Array', 'Two Pointers', 'Greedy']",56.40%,FALSE,Medium
12, Integer to Roman,"['Hash Table', 'Math', 'String']",66.70%,FALSE,Medium
13, Roman to Integer,"['Hash Table', 'Math', 'String']",63.10%,FALSE,Easy
14, Longest Common Prefix,"['String', 'Trie']",44.10%,FALSE,Easy
15, 3Sum,"['Array', 'Two Pointers', 'Sorting']",35.60%,FALSE,Medium
16, 3Sum Closest,"['Array', 'Two Pointers', 'Sorting']",46.20%,FALSE,Medium
17, Letter Combinations of a Phone Number,"['Hash Table', 'String', 'Backtracking']",62.10%,FALSE,Medium
18, 4Sum,"['Array', 'Two Pointers', 'Sorting']",36.90%,FALSE,Medium
19, Remove Nth Node From End of List,"['Linked List', 'Two Pointers']",47.10%,FALSE,Medium
20, Valid Parentheses,"['String', 'Stack']",41.30%,FALSE,Easy
21, Merge Two Sorted Lists,"['Linked List', 'Recursion']",65.60%,FALSE,Easy
22, Generate Parentheses,"['String', 'Dynamic Programming', '1+']",75.80%,FALSE,Medium
23, Merge k Sorted Lists,"['Linked List', 'Divide and Conquer', '2+']",54.60%,FALSE,Hard
24, Swap Nodes in Pairs,"['Linked List', 'Recursion']",65.60%,FALSE,Medium
25, Reverse Nodes in k-Group,"['Linked List', 'Recursion']",60.80%,FALSE,Hard
26, Remove Duplicates from Sorted Array,"['Array', 'Two Pointers']",58.10%,FALSE,Easy
27, Remove Element,"['Array', 'Two Pointers']",58.60%,FALSE,Easy
28, Find the Index of the First Occurrence in a String,"['Two Pointers', 'String', 'String Matching']",43.70%,FALSE,Easy
29, Divide Two Integers,"['Math', 'Bit Manipulation']",17.80%,FALSE,Medium
30, Substring with Concatenation of All Words,"['Hash Table', 'String', 'Sliding Window']",32.50%,FALSE,Hard
31, Next Permutation,"['Array', 'Two Pointers']",41.40%,FALSE,Medium
32, Longest Valid Parentheses,"['String', 'Dynamic Programming', 'Stack']",35.00%,FALSE,Hard
33, Search in Rotated Sorted Array,"['Array', 'Binary Search']",41.70%,FALSE,Medium
34, Find First and Last Position of Element in Sorted Array,"['Array', 'Binary Search']",45.40%,FALSE,Medium
35, Search Insert Position,"['Array', 'Binary Search']",47.50%,FALSE,Easy
36, Valid Sudoku,"['Array', 'Hash Table', 'Matrix']",60.90%,FALSE,Medium
37, Sudoku Solver,"['Array', 'Hash Table', 'Backtracking', '1+']",63.30%,FALSE,Hard
38, Count and Say,['String'],56.80%,FALSE,Medium
39, Combination Sum,"['Array', 'Backtracking']",73.10%,FALSE,Medium
40, Combination Sum II,"['Array', 'Backtracking']",56.60%,FALSE,Medium
41, First Missing Positive,"['Array', 'Hash Table']",40.10%,FALSE,Hard
42, Trapping Rain Water,"['Array', 'Two Pointers', '3+']",63.40%,FALSE,Hard
43, Multiply Strings,"['Math', 'String', 'Simulation']",41.20%,FALSE,Medium
44, Wildcard Matching,"['String', 'Dynamic Programming', '2+']",28.80%,FALSE,Hard
45, Jump Game II,"['Array', 'Dynamic Programming', 'Greedy']",40.80%,FALSE,Medium
